"id","funkcja","podstawa_grz_czysta","podstawa_grz_obieg","podatek_fl","podatek_gr","podatek_grz","debita","varia","miejscowosc","osoba_zrd","wezwanie","rola_osoba","podstawa_gr","podstawa_fert","podatek_fert","dekanat"
286,altarzysta kolegium,,,,15,,,,Pysdri,Paulus a Richwal,,płatnik,,,,Pyzdry
203,kapituła kolegiacka,,,,,,,Collegium sanctae Mariae in Summo Posnaniensi,Summum Posnaniense,,św. Maria,były płatnik,,,,
290,altarzysta kolegium,,,,15,,tak,,Pysdri,Ioannes Thomiczki,,płatnik,,,,Pyzdry
299,[pleban],,,,12,,,,Bieganowo,,,płatnik,,,,Pyzdry
317,kolegium altarzystów,,,,,,,Altaristae ibidem,Oborniki,,,,,,,Oborniki
86,altarzysta katedralny,,,,26,,,"Gabriel Ridzinski. Grossi quatuor dimissi, quia census per dominum Stanislaum Ridzinski tres marcarum non solvuntur",Posnaniensis,Gabriel Ridzinski,,płatnik,,,,
243,kolegium mansjonarzy,,,,,,,Mansionarii in eadem ecclesia Bninensi,Bninensis,,,,,,,Poznań
552,kolegium altarzystów,,,,,,,Altaristae ibidem,Costan,,,,,,,Kościan
591,kolegium altarzystów,,,,,,,Altaristae in Ossieczna,Ossieczna,,,,,,,Kościan
604,kolegium altarzystów,,,,,,,Altaristae ibidem,Smigiel,,,,,,,Kościan
697,kolegium altarzystów,,,,,,,Debita in eisdem,Dolsko,,,,,,,Śrem
679,kolegium mansjonarzy,,,,,,,Mansionarii in Cosmin,Cosmin,,,,,,,Nowe Miasto
683,kapituła kolegiacka,,,,,,,Debita in eisdem,Summum Posnaniense,,św. Maria,,,,,
681,kapituła katedralna,,,,,,,Debita in eisdem,Posnaniensis,,,,,,,
685,kolegium altarzystów kolegiackich,,,,,,,Debita in eisdem,Posnania,,św. Maria Magdalena,,,,,
686,kolegium altarzystów,,,,,,,Debita in eisdem,[Posnania],,Wszyscy Św.,,,,,
690,kolegium altarzystów,,,,,,,Debita in eisdem,Oborniki,,,,,,,Oborniki
684,kapituła kolegiacka,,,,,,,Debita in eisdem,[Posnania],,św. Mikołaj,,,,,
711,prepozyt szpitalny,,,,,,,Praepositura hospitalis Sancti Spiritus ante Coszmin,Coszmin,,Św. Duch,,,,,Nowe Miasto
688,kolegium altarzystów,,,,,,,Debita in eisdem altaribus,Pysdri,,,,,,,Pyzdry
692,kolegium altarzystów kolegiackich,,,,,,,Debita,Szamotuli,,,,,,,Oborniki
751,kolegium altarzystów,,,,,,,Altaristae ibidem,Swiecziechow,,,,,,,Wschowa
682,kolegium altarzystów katedralnych,,,,,,,Debita in eisdem,Posnaniensis,,,,,,,
851,kolegium altarzystów,,,,,,,Altaristae ibidem,Buk,,,,,,,Wronki
937,kolegium altarzystów kolegiackich,,,,,,,Altaristae ibidem,Srzoda,,,,,,,
955,kapituła kolegiacka,,,,,,,Debita in eisdem,Srzoda,,,,,,,
959,kolegium altarzystów kolegiackich,,,,,,,In altaristis debita,Srzoda,,,,,,,
201,kapituła katedralna,,,,,,,Praelaturae et canonicatus ecclesiae cathedralis Posnaniensis,Posnaniensis,,,były płatnik,,,,
92,altarzysta katedralny,,,,28,,tak,Post mortem Ioannis Thomiczki,Posnaniensis,Ioannes Thomiczki,,były płatnik,,,,
642,pleban,,,2,,,,,Nowe Miasto,Georgius Sziplowski,,płatnik,,,,Nowe Miasto
247,[pleban],,,,24,,,,Radzewo,,,płatnik,,,,Poznań
105,kanclerz kolegiacki,,,,,,,Custos et cancellarius sunt exempti a contributione regali; [brak sumy i potwierdzenia wpłaty],Summum Posnaniense,,św. Maria,płatnik,,,,
191,altarzysta kolegiacki,,,,15,,tak,Post mortem Bloczki,Posnania,Bloczki,św. Maria Magdalena,"były płatnik, podatek",,,,
622,altarzysta kolegium,,,,15,,tak,Comunitas viccariorum post mortem Adriani,Costen,Adrianus,,"były płatnik, podatek",,,,Kościan
365,pleban,,,,,,,"Praepositura Sancti Spiritus extra Szamothuli. Ambrosius plebanus Co[stensis] a praepositura.
Grossi sex sunt ei dimissi, quia dominus Biechowski prohibuit suis subditis in villa Kampa fertones ab annis octo persolvere, licet excomunicantur",Costensis,Ambrosius,,posiadacz drugiej parafii,,,,Kościan
251,[pleban],,,2,,,,,Golthowo,,,płatnik,,,,Poznań
252,[pleban],,,,,1,,,Grodzisko prope Giecz,,,płatnik,,,,Poznań
255,[pleban],,,,24,,,,Vrzazowo,,,płatnik,,,,Poznań
256,[pleban],,,4,,,,,Costrzin,,,płatnik,,,,Poznań
293,[pleban],,,,12,,,,Czessewo,,,płatnik,,,,Pyzdry
294,[pleban],,,,12,,,,Vszeborz,,,płatnik,,,,Pyzdry
296,[pleban],,,,24,,,,Zieliony Damb,,,płatnik,,,,Pyzdry
297,[pleban],,,,12,,,,Nowa Wies,,,płatnik,,,,Pyzdry
258,altarzysta kolegium,,,,20,,,Iacobus praepositus hospitalis cui altare unitum est; [zapewne wpłata od dwóch beneficjów],Costrzin,Iacobus,,płatnik,,,,Poznań
259,altarzysta kolegium,,,,10,,,,Costrzin,Laurentius,,płatnik,,,,Poznań
265,[pleban],,,2,,,,,Soliecz,,,płatnik,,,,Poznań
266,[pleban],,,,12,,,,Siekierki,,,płatnik,,,,Poznań
271,[pleban],,,2,,,,,Gluszina,,,płatnik,,,,Poznań
272,[pleban],,,2,,,tak,,Crirowo,,,płatnik,,,,Poznań
498,[parafia],,,,,,,,Poniecz,,,,,,,Śrem
273,altarzysta,,,,16,,tak,Ibidem altarista,Crirowo,,,płatnik,,,,Poznań
274,[pleban],,,,24,,tak,,Madre,,,płatnik,,,,Poznań
275,[pleban],,,,12,,tak,,Kossuty,,,płatnik,,,,Poznań
413,[pleban],,,2,,,tak,Chodziesz palatini Brzestensis domini Casparis,Chodziesz,,,płatnik,,,,Oborniki
28,dekanat wiejski,,,,,,,Vronicensis,Vronicensis,,,,,,,
14,dekanat wiejski,,,,,,,Pysdrensis,Pysdrensis,,,,,,,
24,dekanat wiejski,,,,,,,Costensis,Costensis,,,,,,,
29,dekanat wiejski,,,,,,,Miedzirzecensis,Miedzirzecensis,,,,,,,
379,[pleban],,,2,,,,,Kiekrz,,,płatnik,,,,Oborniki
32,prepozyt katedralny,10,70,8,,,,Praepositus. Adam Conarski praepositus. Proventus extendunt se ad marcas centum octo usuales grossos octo. Moderatio facta ad marcas septuaginta,Posnaniensis,Adam Conarski,,płatnik,,,,
33,dziekan katedralny,10,54,8,,,,Decanus. Dominus Andreas Przeczlawski. Summa proventum [s] extendunt [s] se ad marcas quinquaginta quatuor usuales,Posnaniensis,Andreas Przeczlawski,,płatnik,,,,
52,[kanonik katedralny],,,2,,,,,Posnaniensis,Petrus Cuneczki,,płatnik,,,,
123,altarzysta kolegiacki,,,,27,,,,Summum Posnaniense,Ioannes Skrzethussewski,św. Maria,płatnik,,,,
124,altarzysta kolegiacki,,,,24,,,,Summum Posnaniense,Sebastianus a Kxiasz,św. Maria,płatnik,,,,
109,"[kanonik kolegiacki], magister",,,,24,,,,Summum Posnaniense,Albertus,św. Maria,płatnik,,,,
141,[kanonik kolegiacki],,,,24,,,,Posnania,Laurentius Cziganek,św. Maria Magdalena,płatnik,,,,
168,altarzysta kolegiacki,,,,12,,,,Posnania,Petrus Comorniki,św. Maria Magdalena,płatnik,,,,
169,altarzysta kolegiacki,,,,15,,,,Posnania,Caspar,św. Maria Magdalena,płatnik,,,,
196,altarzysta kolegiacki,,,,11,,tak,,Posnania,Laurentius Vagrowiecz,św. Maria Magdalena,płatnik,,,,
197,altarzysta kolegiacki,,,,8,,tak,,Posnania,Albertus a Cosmin,św. Maria Magdalena,płatnik,,,,
234,altarzysta kolegium,,,,16,,,Gregorius atlarista,[Posnania],Gregorius,św. Marcin,płatnik,,,,
239,[pleban],,,2,,,,,Swarzadz,,,płatnik,,,,Poznań
492,kolegium altarzystów,,,,,,,Altaristae ibidem,Crobia,,,,,,,Śrem
360,altarzysta kolegiacki,,,,,,,Mathias Napora in loco Ioannis Iakiet,Szamotuli,Ioannes Iakiet,,były płatnik,,,,Oborniki
452,[pleban],,,,20,,tak,Thomicze vaccat,Thomicze,,,płatnik,,,,Stęszew
509,altarzysta,,,,15,,,,Zitowieczko,Martinus,,płatnik,,,,Śrem
510,[pleban],,,2,,,,,Domachowo,,,płatnik,,,,Śrem
519,"altarzysta kolegium, organista",,,,15,,,Iacobus organista,Dolsko,Iacobus,,płatnik,,,,Śrem
533,altarzysta,,,,6,,,Daniel altarista; [wiersz poniżej wpisu: Gorca cum Sabelkowo],Gorca,Daniel,,płatnik,,,,Śrem
453,[dekanat wiejski],,,,,,,Decanatus Srzemensis,Srzem,,,,,,,Śrem
456,altarzysta kolegium,,,,24,,,,Srzem,Martinus Psarski,,płatnik,,,,Śrem
458,altarzysta kolegium,,,,24,,,,Srzem,Ioannes a Chodziesz,,płatnik,,,,Śrem
575,altarzysta kolegium,,,,20,,,Symon plebanus in Ridzina,Costan,Symon,,płatnik,,,,Kościan
577,altarzysta kolegium,,,,18,,,,Costan,Stanislaus de Costen,,płatnik,,,,Kościan
603,[parafia],,,,,,,,Smigiel,,,,,,,Kościan
616,[pleban],,,,,1,,,Czerwoni Koscziol,,,płatnik,,,,Kościan
617,[pleban],,,,18,,,,Przewoz,,,płatnik,,,,Kościan
620,[pleban],,,2,,,,,Przemeth,,św. Andrzej,płatnik,,,,Kościan
629,[pleban],,,,24,,tak,,Radomiczko,,,płatnik,,,,Kościan
554,altarzysta kolegium,,,,16,,,,Costan,Mathias Longaiek,,płatnik,,,,Kościan
649,kolegium altarzystów,,,,,,,Altaristae ibidem,Iaroczin,,,,,,,Nowe Miasto
643,kolegium altarzystów,,,,,,,Altaristae ibidem,Nowe Miasto,,,,,,,Nowe Miasto
635,[pleban],,,,24,,tak,,Bogussino,,,płatnik,,,,Kościan
691,kapituła kolegiacka,,,,,,,Debita in eisdem,Szamotuli,,,,,,,Oborniki
698,dekanat wiejski,,,,,,,Debita in eisdem,Srzem,,,,,,,Śrem
705,kolegium altarzystów,,,,,,,Altaristae ibidem,Cosmin,,,,,,,Nowe Miasto
727,[pleban],,,,16,,tak,,Lutomia,,,płatnik,,,,Nowe Miasto
730,[pleban],,,,,1,tak,,Kxiasz,,,płatnik,,,,Nowe Miasto
732,[pleban],,,,24,,tak,,Noscowo,,,płatnik,,,,Nowe Miasto
733,[pleban],,,,24,,tak,,Vlosczieiewicze,,,płatnik,,,,Nowe Miasto
734,altarzysta,,,,15,,tak,Altarista ibidem,Vlosczieiewicze,,,płatnik,,,,Nowe Miasto
737,[pleban],,,,24,,tak,,Lgowo,,,płatnik,,,,Nowe Miasto
742,[pleban],,,,16,,tak,,Raszkowo,,,płatnik,,,,Nowe Miasto
749,pleban,,,,,,,"Altaristae ibidem. Altaristae quondam numero triginta tres in utraque ecclesia, tam parrochiali quam Corporis Christi, quorum proventus proconsul cum consulibus pro se usurpaverunt et nemo ex eis inhabitat. Haereticus pro plebano habetur",Wschowa,,,posiadacz parafii,,,,Wschowa
647,pleban,,,,,1,,"Iaroczin. Dominus plebanus corporali iuramento dixit, per dominos haeredes villam Boguslaw pulsis incolis in praedium ipsorum conversam, de qua missalia proveniunt ex mansis 24",Iaroczin,,,płatnik,,,,Nowe Miasto
758,[pleban],,,,24,,tak,,Vlossakowicze,,,płatnik,,,,Wschowa
759,[pleban],,,,12,,tak,,Przidczina,,,płatnik,,,,Wschowa
762,[pleban],,,,12,,tak,,Ossowa Szien,,,płatnik,,,,Wschowa
763,[pleban],,,,12,,tak,,Dlugie,,,płatnik,,,,Wschowa
764,[pleban],,,,12,,tak,,Lgin,,,płatnik,,,,Wschowa
756,dekanat wiejski,,,,,,"",Debita in eisdem,Wschowa,,,,,,,Wschowa
766,[pleban],,,,12,,tak,,Niechlod,,,płatnik,,,,Wschowa
769,[pleban],,,,12,,tak,,Antiquum Claustrum,,,płatnik,,,,Wschowa
794,[pleban],,,,,1,,,Opalienicza,,,płatnik,,,,Grodzisko
760,[pleban],,,,12,,tak,,Vilcowo Almanicale,,,płatnik,,,,Wschowa
761,altarzysta,,,,24,,tak,Altare ibidem,Vilcowo Almanicale,,,płatnik,,,,Wschowa
807,dziekan [kolegiacki],,,,20,,tak,,Sbassin,,,płatnik,,,,Grodzisko
831,altarzysta kolegium,,,,,,,Petrus Masiolek in loco Martini,Lwovek,Martinus,,były płatnik,,,,Wronki
795,[pleban],,,,24,,,,Docowo,,,płatnik,,,,Grodzisko
828,altarzysta,,,,24,,,Michael Bidgostia ad sanctam Catherinam altarista,Lwovek,Michael Bidgostia,św. Katarzyna,płatnik,,,,Wronki
838,[właściciel miejscowości],,,,,,,"Chrzibsko. Missalia, maldrata , ab annis quatuor, de villa Mosczieiewo domini Lwowski, Niemierzewo domini Chelmski, Milno domini Ioannis Milienski, Isdebno domini Szlopanowski, Iablonowo domini Dziewierzewski, Kykowo dominae Kikowska, Srzodka domini Pawlowski, molendinatores, in omnibus istis villis, per haeredes istarum villarum solvere prohibentur",Niemierzewo,Chelmski,,właściciel miejscowości,,,,Wronki
839,[właściciel miejscowości],,,,,,,"Chrzibsko. Missalia, maldrata , ab annis quatuor, de villa Mosczieiewo domini Lwowski, Niemierzewo domini Chelmski, Milno domini Ioannis Milienski, Isdebno domini Szlopanowski, Iablonowo domini Dziewierzewski, Kykowo dominae Kikowska, Srzodka domini Pawlowski, molendinatores, in omnibus istis villis, per haeredes istarum villarum solvere prohibentur",Milno,Ioannes Milienski,,właściciel miejscowości,,,,Wronki
842,[właściciel miejscowości],,,,,,,"Chrzibsko. Missalia, maldrata , ab annis quatuor, de villa Mosczieiewo domini Lwowski, Niemierzewo domini Chelmski, Milno domini Ioannis Milienski, Isdebno domini Szlopanowski, Iablonowo domini Dziewierzewski, Kykowo dominae Kikowska, Srzodka domini Pawlowski, molendinatores, in omnibus istis villis, per haeredes istarum villarum solvere prohibentur",Kykowo,Kikowska,,właściciel miejscowości,,,,Wronki
845,altarzysta,,,,12,,,,Pniewy,Petrus Comorniki,,płatnik,,,,Wronki
849,[pleban],,,,12,,,,Vierzbno,,,płatnik,,,,Wronki
846,[pleban],,,2,,,,,Vronki,,,płatnik,,,,Wronki
823,[pleban],,,4,,,,,Brodi,,,płatnik,,,,Wronki
875,[pleban],,,,12,,tak,,Lascze,,,płatnik,,,,Wronki
879,[pleban],,,2,,,tak,Pniewy per dominum Sthephanum palatinum  Brzestensem,Pniewy,,,płatnik,,,,Wronki
883,[pleban],,,,24,,tak,Miedzichod per dominum Iacobum Ostrorog,Miedzichod,,,płatnik,,,,Wronki
892,"starosta międzyrzecki, kasztelanowa santocka. [właściciel uposażenia]",,,,,,,"Trcziel. Plebanus duodecim grossos solvit, grossi 12 dimissi. Idem plebanus medio corporali iuramento praestito dixit, quod decimam de praedio Trzcziel, missalia de molendino Mitrega, ac decimam de Miloslaw domini Lwosczi capitaneus Miedzirzecensis et castellana Santocensis pro se usurpant",Mitrega,Lwosczi,,właściciel uposażenia,,,,Międzyrzecz
891,"starosta międzyrzecki, kasztelanowa santocka, [właściciel uposażenia]",,,,,,,"Trcziel. Plebanus duodecim grossos solvit, grossi 12 dimissi. Idem plebanus medio corporali iuramento praestito dixit, quod decimam de praedio Trzcziel, missalia de molendino Mitrega, ac decimam de Miloslaw domini Lwosczi capitaneus Miedzirzecensis et castellana Santocensis pro se usurpant",Trzcziel,Lwosczi,,właściciel uposażenia,,,,Międzyrzecz
905,[pleban],,,,,1,tak,,Squirzina,,,płatnik,,,,Międzyrzecz
911,[pleban],,,,12,,tak,,Valkenfalde,,,płatnik,,,,Międzyrzecz
893,"starosta międzyrzecki, kasztelanowa santocka, [właściciel uposażenia]",,,,,,,"Trcziel. Plebanus duodecim grossos solvit, grossi 12 dimissi. Idem plebanus medio corporali iuramento praestito dixit, quod decimam de praedio Trzcziel, missalia de molendino Mitrega, ac decimam de Miloslaw domini Lwosczi capitaneus Miedzirzecensis et castellana Santocensis pro se usurpant",Miloslaw,Lwosczi,,właściciel uposażenia,,,,Międzyrzecz
897,altarzysta,,,,16,,,,Trcziel,Stanislaus Choynicza,,płatnik,,,,Międzyrzecz
906,altarzysta kolegium,,,,,,tak,Altaristae duo in Squirzina desolati,Squirzina,,,płatnik,,,,Międzyrzecz
938,altarzysta kolegiacki,,,,9,,,,Srzoda,Stanislaus de Zerkow,,płatnik,,,,
890,pleban,,,,12,,,"Trcziel. Plebanus duodecim grossos solvit, grossi 12 dimissi. Idem plebanus medio corporali iuramento praestito dixit, quod decimam de praedio Trzcziel, missalia de molendino Mitrega, ac decimam de Miloslaw domini Lwosczi capitaneus Miedzirzecensis et castellana Santocensis pro se usurpant",Trcziel,,,płatnik,,,,Międzyrzecz
945,altarzysta kolegiacki,,,,16,,,,Srzoda,Ioannes Razek,,płatnik,,,,
946,altarzysta kolegiacki,,,,18,,,,Srzoda,Thomas de Srzoda,,płatnik,,,,
948,"altarzysta kolegiacki, kaznodzieja",,,,14,,,Vitus praedicator,Srzoda,Vitus,,płatnik,,,,
298,[pleban],,,,,2,,,Mieliesna Gorca,,,płatnik,,,,Pyzdry
302,[pleban],,,2,,,,,Biechowo,,,płatnik,,,,Pyzdry
970,[właściciel uposażenia],,,,,,,"Mansionarii in sorte domini Lucae de Gorca et Swidwa manuales sunt loco vicariorum qui decantant, et amovibiles, licet annis anteactis quilibet per grossos 24 persolvebant, iuramento corporali dixerunt, omnes census annihilatos esse, vix tertiam partem censuum percipiunt; [brak potwierdzenia wpłaty]",Szamotuli,Luca de Gorca et Swidwa,,właściciel uposażenia,,,,Oborniki
292,prepozyt,,,,,,tak,Praepositus Sancti Spiritus in Pysdry; [brak sumy podatku],Pysdry,,Św. Duch,płatnik,,,,Pyzdry
281,altarzysta kolegium,,,,12,,,,Pysdri,Iacobus Kleczko,,płatnik,,,,Pyzdry
285,altarzysta kolegium,,,,3,,,,Pysdri,Laurentius,,płatnik,,,,Pyzdry
316,dekanat wiejski,,,,,,,Decanatus Obornicensis,Obornicensis,,,,,,,Oborniki
310,[pleban],,,,,,tak,,Gosdowo,,,płatnik,,,7,Pyzdry
295,[pleban],,,,12,,,,Grabowo,,,płatnik,,,,Pyzdry
531,[pleban],,,,,,,Gorca cum Sabelkowo,Sabelkowo,,,posiadacz drugiej parafii,,,,Śrem
971,[parafia],,,,,,,,Oborniki,,,,,,,Oborniki
303,[pleban],,,,12,,,,Sokolniki,,,płatnik,,,,Pyzdry
306,[pleban],,,2,,,,,Nietrzanowo,,,płatnik,,,,Pyzdry
307,[pleban],,,,12,,,,Bardo,,,płatnik,,,,Pyzdry
308,[pleban],,,2,,,tak,,Vinna Gora,,,płatnik,,,,Pyzdry
309,[pleban],,,,24,,tak,,Romieyki,,,płatnik,,,,Pyzdry
311,[pleban],,,,,2,tak,,Cziazim,,,płatnik,,,,Pyzdry
280,altarzysta kolegium,,,,5,,,,Pysdri,Ioannes a Kleczko,,płatnik,,,,Pyzdry
318,altarzysta kolegium,,,,13,,,,Oborniki,Mathias,,płatnik,,,,Oborniki
320,altarzysta kolegium,,,,15,,,,Oborniki,Benedictus,,płatnik,,,,Oborniki
321,altarzysta kolegium,,,,22.5,,,,Oborniki,Iozephus Norek,,płatnik,,,,Oborniki
322,altarzysta kolegium,,,,12,,,,Oborniki,Thomas,,płatnik,,,,Oborniki
323,altarzysta kolegium,,,,5,,,,Oborniki,Andreas Kikielko,,płatnik,,,,Oborniki
325,altarzysta kolegium,,,,9,,tak,,Oborniki,Albertus Pannificum,,płatnik,,,,Oborniki
277,dekanat wiejski,,,,,,,Decanatus Pysdrensis,Pysdrensis,,,,,,,Pyzdry
248,[pleban],,,,24,,,,Nekla,,,płatnik,,,,Poznań
249,[pleban],,,,16,,,,Mieczewo,,,płatnik,,,,Poznań
250,[pleban],,,2,,,,,Giecz,,,płatnik,,,,Poznań
253,[pleban],,,,24,,,,Iwno,,,płatnik,,,,Poznań
254,[pleban],,,,24,,,,Siedliecz,,,płatnik,,,,Poznań
278,prepozyt,,,,,2,,Pysdry. Florianus Cotwicz praepositus,Pysdry,Florianus Cotwicz,,płatnik,,,,Pyzdry
284,altarzysta kolegium,,,,12,,,,Pysdri,Mathias a Pobiedziska,,płatnik,,,,Pyzdry
287,altarzysta kolegium,,,,10,,,,Pysdri,Paulus Vrzesnia,,płatnik,,,,Pyzdry
415,[pleban],,,,6,,tak,Parkowo domini Grodzieczki,Parkowo,,,płatnik,,,,Oborniki
319,altarzysta kolegium,,,,14,,,,Oborniki,Laurentius Lacheta,,płatnik,,,,Oborniki
324,altarzysta kolegium,,,,30,,tak,,Oborniki,Ioannes Qvitemberg,,płatnik,,,,Oborniki
327,[pleban],,,2,,,,,Radzim,,,płatnik,,,,Oborniki
328,[pleban],,,,24,,,,Pila,,,płatnik,,,,Oborniki
359,altarzysta kolegiacki,,,,24,,tak,Mathias Napora in loco Ioannis Iakiet,Szamotuli,Mathias Napora,,płatnik,,,,Oborniki
390,[pleban],,,2,,,,,Zidowo,,,płatnik,,,,Oborniki
282,altarzysta kolegium,,,,9,,,,Pysdri,Andreas Kleczewita,,płatnik,,,,Pyzdry
433,[patron altarii],,,,,,,"Altare  vaccat ab annis duobus, collationis generosi domini Lucae Gulthowski et Annae Oporowska",Sthessewo,Luca Gulthowski,,patron altarii,,,,Stęszew
444,[właściciel miejscowości],,,,,,,Lodzia plebanus cui decima de Bendlewo per dominum Thomiczki rapitur ab annis decem,Bendlewo,Thomiczki,,właściciel miejscowości,,,,Stęszew
466,altarzysta kolegium,,,,6,,,,Srzem,Ioannes a Srzem,,płatnik,,,,Śrem
467,altarzysta kolegium,,,,20,,,,Srzem,Gaiewski,,płatnik,,,,Śrem
483,[pleban],,,4,,,,,Antiqua Gostin,,,płatnik,,,,Śrem
486,[pleban],,,4,,,,,Strzelcze,,,płatnik,,,,Śrem
490,[pleban],,,,24,,,,Kolaczkowicze,,,płatnik,,,,Śrem
491,[pleban],,,4,,,,,Crobia,,,płatnik,,,,Śrem
501,altarzysta kolegium,,,,20,,,,Poniecz,Ioannes Iwan,,płatnik,,,,Śrem
432,altarzysta,,,,15,,,"Altare vaccat ab annis duobus, collationis generosi domini Lucae Gulthowski et Annae Oporowska; [brak potwierdzenia wpłaty]; [altarzysta przy prepozyturze szpitalnej lub przy kościele parafialnym]",Sthessewo,,,płatnik,,,,Stęszew
421,[właściciel miejscowości],,,,,,"",Parkowo domini Grodzieczki; Ecclesiae per haereticos occupatae,Parkowo,Grodzieczki,,właściciel miejscowości,,,,Oborniki
326,prepozyt,,,,24,,tak,,Oborniki,,Św. Duch,płatnik,,,,Oborniki
329,[pleban],,,10,,,,,Rogosno,,,płatnik,,,,Oborniki
330,altarzysta,,,,17,,,"Altarista ibidem Mathias a Caliss iuramento corporali praestito dixit census in villis Szlomowo et Zaczulthowo, per reverendissimum olim dominum episcopum Cracoviensem Zebrzidowski marcas tres suppressas esse gr. 17; [brak potwierdzenia wpłaty, w rękopisie A: «non soluti»]",Rogosno,Mathias a Caliss,,płatnik,,,,Oborniki
371,[pleban],,,,12,,,,Borussino,,,płatnik,,,,Oborniki
391,[pleban],,,,12,,,,Uchorowo,,,płatnik,,,,Oborniki
68,[kanonik katedralny],,,2,,,,,Posnaniensis,Ioannes Zimlinski,,płatnik,,,,
361,"altarzysta kolegiacki, bakałarz",,,,20,,tak,Valentinus baccalaureus in loco Martini,Szamotuli,Valentinus,,płatnik,,,,Oborniki
283,altarzysta kolegium,,,,12,,,,Pysdri,Symon Camieniecz,,płatnik,,,,Pyzdry
332,[wieś uposażeniowa],,,,,,,"Altarista ibidem Mathias a Caliss iuramento corporali praestito dixit census in villis Szlomowo et Zaczulthowo, per reverendissimum olim dominum episcopum Cracoviensem Zebrzidowski marcas tres suppressas esse gr. 17; [brak potwierdzenia wpłaty, w rękopisie A: «non soluti»]",Zaczulthowo,,,,,,,Oborniki
392,[pleban],,,,24,,,,Bialezino,,,płatnik,,,,Oborniki
393,[pleban],,,,24,,,,Kiczino,,,płatnik,,,,Oborniki
331,[wieś uposażeniowa],,,,,,,"Altarista ibidem Mathias a Caliss iuramento corporali praestito dixit census in villis Szlomowo et Zaczulthowo, per reverendissimum olim dominum episcopum Cracoviensem Zebrzidowski marcas tres suppressas esse gr. 17; [brak potwierdzenia wpłaty, w rękopisie A: «non soluti»]",Szlomowo,,,,,,,Oborniki
416,"kasztelanowa lądzka, [właściciel uposażenia]",,,,,,,"Skoky. Dimissi sunt grossi triginta, nam fundum et decimas domina castellana Landensis Zeliczki et Nininski medios proventus in decimis occupaverunt, prout corporali iuramento comprobavit",Skoky,,,właściciel uposażenia,,,,Oborniki
442,[pleban],,,,24,,,,Slup,,,płatnik,,,,Stęszew
443,pleban,,,,,1,,Lodzia. Plebanus cui decima de Bendlewo per dominum Thomiczki rapitur ab annis decem,Lodzia,,,płatnik,,,,Stęszew
